,eolica,nuclear,carbon,ciclo_combinado,hidraulica,solar_fotovoltaica,solar_termica,cogeneracion,exportacion_andorra,exportacion_marruecos,exportacion_portugal,exportacion_francia,importacion_francia,importacion_portugal,importacion_marruecos,importacion_andorra,target
0,12493.159973,5948.34125,299.3836667,1825.5478333,945.0511667,1563.366871,117.8330198,2477.1111778,-18.6833333,-115.0041667,-1907.1622917,-1153.521,559.3002083,58.6506667,9.5125,0.0,92.55791666666666
1,12150.0133043,5956.3757917,664.046125,4566.9365833,1221.17095,1294.158505,75.0144185,2897.4226667,-38.5875,-135.75,-962.3216667,-2473.5464167,5.6967083,375.7573333,10.6166667,0.0,147.43041666666667
2,9925.6022083,5939.0674167,715.7904583,6002.4195417,1426.251125,2122.050266,442.891079,3017.8930833,-31.3304167,-161.0291667,-681.8048333,-2325.6609583,54.5409167,473.2797083,10.9333333,0.0,155.07291666666666
3,7062.4248333,5953.8725417,800.6019583,7648.3852083,1319.9682083,2399.7810607,795.6150289,3115.3287083,-44.9291667,-173.9583333,-797.1125417,-1519.6285833,153.8413333,550.443125,8.9291667,0.0,171.83416666666668
4,9802.0254167,5959.269375,776.7967917,5684.6900417,1374.5400417,2637.7444095,832.0046161,3229.385875,-24.8208333,-121.7833333,-777.8580833,-2101.2946667,46.1037917,432.6225417,15.475,0.0,172.33708333333334
5,11361.242,5941.3394167,697.67875,2872.4749583,1240.6852917,2759.8299341,891.7437702,2922.8840625,-19.69,-27.1083333,-1391.26775,-1964.5907917,191.7668333,162.6879583,70.6291667,0.0,155.4575
6,12032.8376333,5934.0678333,397.7557083,2916.2328333,956.2745,2603.9754479,863.0740139,2704.905375,-20.57125,-16.2666667,-2400.9905,-1626.51675,395.5129167,114.1094583,153.3083333,0.0,133.96666666666667
7,11488.0865,5923.6455833,640.1163333,5044.387,1518.7431667,2685.6787235,862.268453,3001.5150417,-17.7741667,-54.9583333,-1487.9273333,-1983.0825417,55.2186667,268.8585417,72.5875,0.0,166.8454166666667
8,7776.6814497,5915.1418333,808.8480417,7335.54825,1612.8374583,2682.3906491,832.2431806,3076.4065,-34.5295833,-60.4041667,-901.7287917,-1494.6600833,204.7899583,518.1058333,64.1,0.0,179.86875
9,3801.2916491,5904.6206667,813.7093333,11568.775125,1883.0156667,2460.9173118,834.7187699,3175.9649583,-34.36875,-137.2,-834.8329583,-1605.0112083,232.0924583,598.8320833,17.1125,0.0,198.48916666666665
10,2436.9529448,5739.437625,814.8851667,12967.3799583,1941.2551667,2295.7566503,643.5962472,3162.2939583,-38.32,-235.6125,-1050.8304583,-1276.180125,561.0540833,721.8648333,9.1541667,0.0,183.8791666666667
11,3389.5352924,4939.423625,812.8158333,11613.7769583,1889.6099583,2255.6246851,727.6832329,3187.6082083,-28.49125,-128.3666667,-880.9297083,-1138.7939167,1153.8490833,643.26375,18.575,0.0,185.26083333333332
12,5360.0842259,4916.1709583,813.4014583,7258.36425,1147.7203333,2342.156141,771.899843,3016.5537798,-33.6170833,-84.8208333,-1731.1454167,-425.0341667,1872.683,87.2875,30.8458333,0.0,180.25541666666663
13,9183.5564069,4929.538875,810.2894167,4401.493125,1190.7780833,2496.6545752,815.4371621,2846.0884167,-32.0870833,-48.325,-2115.0922917,-1299.6393333,895.9884167,33.4597917,86.0625,0.0,171.68541666666667
14,11114.9864865,4908.189875,809.2617083,6064.5006667,1593.5385,2486.6817244,706.0142311,3030.6860833,-39.08375,-56.9291667,-1568.3814583,-1371.3198333,173.1986667,332.719875,35.8291667,0.0,181.57666666666668
15,9109.3585896,4903.0050833,811.0552917,8627.729375,1350.3058333,2457.0205687,757.7106972,3085.6433333,-44.63375,-60.8875,-764.254375,-1417.0892083,171.0504583,356.7236667,59.7666667,0.0,194.7045833333333
16,11727.7645408,4903.0450833,809.51175,5396.1756667,1376.0817917,2355.3364576,686.9641155,3114.05725,-44.7725,-54.775,-360.06575,-1506.524875,75.16125,1071.6467917,45.5958333,0.0,195.98416666666665
17,9110.0232159,4897.8865417,809.485125,7319.6220417,1536.9625083,2003.2058331,595.3501833,3149.7502083,-47.51,-21.2041667,-205.8444167,-1422.102125,298.9857083,1372.0315833,86.4125,0.0,225.06041666666667
18,6436.434223,4874.46125,810.2667083,9525.6568333,1922.9605833,1837.9356027,260.9876345,3201.9816667,-42.7279167,-67.875,-244.1770417,-1488.506125,142.231625,1618.7102083,49.8125,0.0,227.75458333333333
19,3468.8698875,4862.9475833,811.8525833,11288.8601667,1759.929625,593.4791122,9.8858333,2963.132,-35.71125,-72.625,-292.5654167,-953.55775,452.811125,745.9183333,29.6666667,0.0,221.24666666666667
20,3492.5053849,4676.9570833,811.9214583,9653.5502917,1853.7580417,1345.576744,77.4533405,2904.4470833,-33.6029167,-63.6,-1656.3410833,-199.204,1607.1821667,88.9493333,70.3833333,0.0,227.9225
21,6904.1130379,3943.9595417,933.49625,11827.1888333,1877.6035,1035.4886441,38.6289333,3063.4118333,-40.9991667,-42.075,-942.8008333,-1249.9502917,782.6592083,682.2695,71.5083333,0.0,235.9233333333333
